"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_real_OffroadHatchback0","Lada Niva","Lada Niva","Lada Niva","Lada Niva","Лада Нива","Lada Niva","Lada Niva","Lada Niva","Lada Niva","Lada Niva","Lada Niva","Lada Niva","Lada Niva","Lada Niva",
"STR_real_HatchbackWheel0","Lada Niva Wheel","Lada Niva Wheel","Kolo Lada Niva","Lada Niva-Reifen","Колесо Лада Нива","Koło od Ady 4x4","Lada Niva Wheel","Ruota Lada Niva","Rueda de Lada Niva","Roue de Lada Niva","Lada Niva 輪胎","Lada Niva 4WD 車輪","Roda Lada Niva","Lada Niva 车轮",
"STR_real_HatchbackWheel1","A wheel of the Lada Niva off-road. Deep-treaded tire is used to improve vehicle driving capabilities in terrain.","A wheel of the Lada Niva off-road. Deep-treaded tire is used to improve vehicle driving capabilities in terrain.","Kolo terénního vozu Lada Niva. Pneumatika s terénním vzorkem k zvýšení ovLadatelnosti vozidla v terénu.","Ein Reifen für den Lada Niva-Offroader. Das tiefe Profil sorgt für guten Halt in schwierigem Gelände.","Колесо внедорожника Лада Нива. Шина с ярко выраженным протектором для лучшей маневренности в условиях бездорожья.","Koło terenówki Lada Niva. Głęboki bieżnik polepsza właściwości terenowe pojazdu.","A wheel of the Lada Niva off-road. Deep-treaded tire is used to improve vehicle driving capabilities in terrain.","Una ruota del fuoristrada Lada Niva. Pneumatico con scanalature profonde utilizzato per migliorare le capacità di guida del veicolo sui vari terreni.","Una rueda del vehículo todoterreno Lada Niva. Se usan ruedas con mucho agarre para mejorar la conducción del vehículo en diversos terrenos.","Une roue pour Lada Niva. La sculpture de la bande de roulement assure l'adhérence du véhicule en terrain accidenté.","Lada Niva 越野車的輪胎。深胎紋設計，能提升車子在複雜地形中的性能。","Lada Niva 4WD オフロードの車輪。溝の深いトレッドパターンを持つタイヤは、起伏の多い地形での車両の走行能力を高めてくれる。","Uma roda do off-road Lada Niva. O pneu com sulcos profundos é usado para melhorar a capacidade de condução do veículo fora do asfalto.","Lada Niva 越野车的车轮。深花纹轮胎用于提高车辆在地形中的行驶能力。",
"STR_real_HatchbackDoors_Driver0","Lada Niva Left Door","Lada Niva Left Door","Levé dveře Lada Niva","Lada Niva-Tür links","Левая дверь Лада Нива","Lewe drzwi od Lada Niva","Lada Niva Left Door","Portiera sinistra Lada Niva","Puerta izquierda de Lada Niva","Portière gauche de Lada Niva","Lada Niva 左門","Lada Niva 4WD 左のドア","Porta esquerda Lada Niva","Lada Niva 左门",
"STR_real_HatchbackDoors_Driver1","Front left door of the Lada Niva off-road. Keeps the driver safe inside the vehicle.","Front left door of the Lada Niva off-road. Keeps the driver safe inside the vehicle.","Levé přední dveře terénního vozu Lada Niva. Chrání řidiče uvnitř vozu.","Linke Vordertür des Lada Niva-Offroaders. Verhindert, dass der Fahrer aus dem Wagen fällt.","Передняя левая дверь внедорожника Лада Нива. Обеспечивает безопасность водителя внутри автомобиля.","Przednie lewe drzwi od terenówki Lada Niva. Dzięki nim kierowca będzie bezpieczny.","Front left door of the Lada Niva off-road. Keeps the driver safe inside the vehicle.","La portiera anteriore sinistra del fuoristrada Lada Niva. Mantiene il pilota al sicuro all’interno del veicolo.","Puerta izquierda delantera del todoterreno Lada Niva. Mantiene al conductor a salvo dentro del vehículo.","Une portière avant gauche pour Lada Niva. Permet de protéger le conducteur.","Lada Niva 越野車的左前門。保持駕駛在車內的安全。","Lada Niva 4WD オフロードの左前のドア。運転席の人も安全に乗れる。","Porta dianteira esquerda do Lada Niva. Mantém o motorista seguro dentro do veículo.","Lada Niva 越野车的左前车门。确保车内驾驶员的安全。",
"STR_real_HatchbackDoors_CoDriver0","Lada Niva Right Door","Lada Niva Right Door","Pravé dveře Lada Niva","Lada Niva-Tür rechts","Правая дверь Лада Нива","Prawe drzwi od Lada Niva","Lada Niva Right Door","Portiera destra Lada Niva","Puerta derecha de Lada Niva","Portière droite de Lada Niva","Lada Niva 右門","Lada Niva 4WD 右のドア","Porta direita Lada Niva","Lada Niva 右门",
"STR_real_HatchbackDoors_CoDriver1","Front right door of the Lada Niva off-road. Keeps the co-driver safe inside the vehicle.","Front right door of the Lada Niva off-road. Keeps the co-driver safe inside the vehicle.","Pravé přední dveře terénního vozu Lada Niva. Chrání spolujezdce vepředu.","Rechte Vordertür des Lada Niva-Offroaders. Verhindert, dass der Beifahrer aus dem Wagen fällt.","Передняя правая дверь внедорожника Лада Нива. Обеспечивает безопасность пассажира внутри автомобиля.","Przednie prawe drzwi od terenówki Lada Niva. Dzięki nim drugi kierowca będzie bezpieczny.","Front right door of the Lada Niva off-road. Keeps the co-driver safe inside the vehicle.","La portiera anteriore destra del fuoristrada Lada Niva. Mantiene il copilota al sicuro all’interno del veicolo.","Puerta derecha delantera del vehículo todoterreno Lada Niva. Mantiene al copiloto a salvo dentro del vehículo.","Une portière avant droite pour Lada Niva. Permet de protéger le passager avant.","Lada Niva 越野車的右前門。保持副駕駛在車內的安全。","Lada Niva 4WD オフロードの右前のドア。助手席の人も安全に乗れる。","Porta dianteira direita do Lada Niva. Mantém o copiloto seguro dentro do veículo.","Lada Niva 越野车的右前车门。确保车内副驾驶员的安全。",
"STR_real_HatchbackHood0","Lada Niva Hood","Lada Niva Hood","Kapota Lada Niva","Lada Niva Motorhaube","Капот Лада Нива","Maska od Lada Niva","Lada Niva Hood","Cofano Lada Niva","Capó de Lada Niva","Capot de Lada Niva","Lada Niva 引擎蓋","Lada Niva 4WD ボンネット","Capô Lada Niva","Lada Niva 引擎罩",
"STR_real_HatchbackHood1","Hood of the Lada Niva off-road. Helps protect the engine and other sensitive car parts.","Hood of the Lada Niva off-road. Helps protect the engine and other sensitive car parts.","Kapota civilního terénního vozu Lada Niva. Chrání motor a další citlivé součástky auta.","Motorhaube des zivilen Lada Niva-Offroaders. Schützt den Motor und andere empfindliche Wagenteile.","Капот гражданского внедорожника Лада Нива. Помогает защитить двигатель и другие важные детали автомобиля.","Maska od terenówki Lada Niva. Chroni silnik i inne delikatne części samochodu.","Hood of the Lada Niva off-road. Helps protect the engine and other sensitive car parts.","Il cofano del fuoristrada per uso civile Lada Niva. Aiuta a proteggere il motore e altri componenti delicati dell’automobile.","Capó del vehículo civil todoterreno Lada Niva. Ayuda a proteger el motor y otras partes importantes del coche.","Un capot pour Lada Niva. Protège le moteur et les pièces essentielles du véhicule.","Lada Niva 民用越野車的引擎蓋。保護引擎與其他脆弱零件。","Lada Niva 4WD オフロードのボンネット。エンジンやその他の繊細な車のパーツを保護してくれる。","Capô do off-road Lada Niva. Ajuda a proteger o motor e outras peças sensíveis do carro.","Lada Niva 民用越野车的引擎盖。可帮助保护发动机和其他敏感的汽车部件。",
"STR_real_HatchbackTrunk0","Lada Niva Trunk Door","Lada Niva Trunk Door","Dveře od kufru Lada Niva","Lada Niva-Hecktür","Дверь багажника Лада Нива","Klapa bagażnika od Lada Niva","Lada Niva Trunk Door","Portellone posteriore Lada Niva","Maletero de Lada Niva","Hayon de Lada Niva","Lada Niva 車廂門","Lada Niva 4WD トランクのドア","Tampa de porta-malas Lada Niva","Lada Niva 后备箱门",
"STR_real_HatchbackTrunk1","Trunk door of the Lada Niva offroad. Used for keeping trunk contents closed.","Trunk door of the Lada Niva offroad. Used for keeping trunk contents closed.","Dveře od kufru terénního vozu Lada Niva. Používá se k uzavření nákladu v kufru.","Hecktür des Lada Niva-Offroaders. Schützt den Inhalt des Kofferraums.","Дверь багажника внедорожника Лада Нива. Не дает содержимому багажника выпасть.","Klapa bagażnika od terenówki Lada Niva. Dzięki niej zawartość bagażnika pozostaje w bagażniku.","Trunk door of the Lada Niva offroad. Used for keeping trunk contents closed.","Il portellone posteriore del fuoristrada Lada Niva. Utilizzato per mantenere al sicuro il contenuto del portabagagli.","Puerta del maletero del todoterreno Lada Niva. Evita que las cosas se caigan del maletero.","Un hayon pour Lada Niva. Permet de fermer le coffre et d'en protéger le contenu.","Lada Niva 越野車的車廂門。鎖住車廂內的物品。","Lada Niva 4WD オフロードのトランクのドア。トランクに入れた物が飛び出さないように使用される。","Tampa de porta-malas do off-road Lada Niva. Usada para manter o conteúdo do porta-malas fechado.","Lada Niva 越野车的后备箱门。用于关住后备箱装的东西。",
"STR_real_CivilianSedan0","GAZ-24 Volga","GAZ-24 Volga","GAZ-24 Volga","GAZ-24 Volga","ГАЗ-24 Волга","GAZ-24 Volga","GAZ-24 Volga","GAZ-24 Volga","GAZ-24 Volga","GAZ-24 Volga","GAZ-24 Volga","GAZ-24 Volga","GAZ-24 Volga","GAZ-24 Volga",
"STR_real_CivSedanWheel0","GAZ-24 Volga Wheel","GAZ-24 Volga Wheel","Kolo GAZ-24 Volga","GAZ-24 Volga-Reifen","Колесо ГАЗ-24 Волга","Koło od GAZ-24 Volga","GAZ-24 Volga Wheel","Ruota GAZ-24 Volga","Rueda de GAZ-24 Volga","Roue de GAZ-24 Volga","GAZ-24 Volga 輪胎","GAZ-24 Volga 車輪","Roda GAZ-24 Volga","GAZ-24 Volga 车轮",
"STR_real_CivSedanWheel1","A wheel of the GAZ-24 Volga sedan. Tire pattern is designed for high performance on common road surfaces.","A wheel of the GAZ-24 Volga sedan. Tire pattern is designed for high performance on common road surfaces.","Kolo sedanu GAZ-24 Volga. Vzorek pneumatiky je navržen k vysokým rychlostem na běžném povrchu vozovky.","Ein Reifen für die GAZ-24 Volga-Limousine. Das Reifenprofil ist für gewöhnliche Straßenbeläge optimiert.","Колесо седана ГАЗ-24 Волга. Рисунок протектора обеспечивает высокую маневренность на обычных дорожных покрытиях.","Koło sedana GAZ-24 Volga. Wzór bieżnika usprawnia jazdę po normalnych drogach.","A wheel of the GAZ-24 Volga sedan. Tire pattern is designed for high performance on common road surfaces.","Una ruota della berlina GAZ-24 Volga. Pneumatico con battistrada concepito per offrire prestazioni elevate sulle strade ordinarie.","Una rueda para la berlina GAZ-24 Volga. El patrón de la rueda está diseñado para ofrecer un gran rendimiento en superficies comunes.","Une roue pour berline Olga 24. Le pneu offre de très bonnes performances sur route.","GAZ-24 Volga 四門客車的輪胎。輪胎紋路是專為一般路面所設計，性能優異。","GAZ-24 Volga セダンの車輪。タイヤの模様は通常の道路で高性能を見せるようにデザインされている。","Uma roda do GAZ-24 Volga sedã. O padrão do pneu é projetado para alto desempenho em superfícies de estrada comuns.","GAZ-24 Volga 轿车的车轮。轮胎花纹设计旨在适应普通道路路面，保持高性能。",
"STR_real_CivSedanDoors_Driver0","GAZ-24 Volga Front Left Door","GAZ-24 Volga Front Left Door","Levé přední dveře GAZ-24 Volga","GAZ-24 Volga Tür vorne links","Передняя левая дверь ГАЗ-24 Волга","Przednie lewe drzwi od GAZ-24 Volga","GAZ-24 Volga Front Left Door","Portiera anteriore sinistra GAZ-24 Volga","Puerta izquierda delantera de GAZ-24 Volga","Portière AVG de GAZ-24 Volga","GAZ-24 Volga 左前門","GAZ-24 Volga 左前のドア","Porta dianteira esquerda GAZ-24 Volga","GAZ-24 Volga 左前车门",
"STR_real_CivSedanDoors_Driver1","Front left door of the GAZ-24 Volga sedan. Keeps the driver safe inside the vehicle.","Front left door of the GAZ-24 Volga sedan. Keeps the driver safe inside the vehicle.","Levé přední dveře sedanu GAZ-24 Volga. Chrání řidiče uvnitř vozu.","Linke Vordertür der GAZ-24 Volga-Limousine. Verhindert, dass der Fahrer aus dem Wagen fällt.","Передняя левая дверь седана ГАЗ-24 Волга. Обеспечивает безопасность водителя внутри автомобиля.","Przednie lewe drzwi od sedana GAZ-24 Volga. Dzięki nim kierowca będzie bezpieczny.","Front left door of the GAZ-24 Volga sedan. Keeps the driver safe inside the vehicle.","La portiera anteriore sinistra della berlina GAZ-24 Volga. Mantiene il pilota al sicuro all’interno del veicolo.","Puerta izquierda delantera de la berlina GAZ-24 Volga. Mantiene al conductor a salvo dentro del vehículo.","Une portière avant gauche pour berline GAZ-24 Volga. Permet de protéger le conducteur.","GAZ-24 Volga 四門客車的左前門。保持駕駛在車內的安全。","GAZ-24 Volga セダンの左前のドア。運転席の人も安全に乗れる。","Porta dianteira esquerda do GAZ-24 Volga sedã. Mantém o motorista seguro dentro do veículo.","GAZ-24 Volga 轿车左前车门。确保车内驾驶员的安全。",
"STR_real_CivSedanDoors_CoDriver0","GAZ-24 Volga Front Right Door","GAZ-24 Volga Front Right Door","Pravé přední dveře GAZ-24 Volga","GAZ-24 Volga Tür vorne rechts","Передняя правая дверь ГАЗ-24 Волга","Przednie prawe drzwi od GAZ-24 Volga","GAZ-24 Volga Front Right Door","Portiera anteriore destra GAZ-24 Volga","Puerta derecha delantera de GAZ-24 Volga","Portière AVD de GAZ-24 Volga","GAZ-24 Volga 右前門","GAZ-24 Volga 右前のドア","Porta dianteira direita GAZ-24 Volga","GAZ-24 Volga 右前车门",
"STR_real_CivSedanDoors_CoDriver1","Front right door of the GAZ-24 Volga sedan. Keeps the co-driver safe inside the vehicle.","Front right door of the GAZ-24 Volga sedan. Keeps the co-driver safe inside the vehicle.","Pravé přední dveře sedanu GAZ-24 Volga. Chrání spolujezdce vepředu.","Rechte Vordertür der GAZ-24 Volga-Limousine. Verhindert, dass der Beifahrer aus dem Wagen fällt.","Передняя правая дверь седана ГАЗ-24 Волга. Обеспечивает безопасность пассажира внутри автомобиля.","Przednie prawe drzwi od sedana GAZ-24 Volga. Dzięki nim drugi kierowca będzie bezpieczny.","Front right door of the GAZ-24 Volga sedan. Keeps the co-driver safe inside the vehicle.","La portiera anteriore destra della berlina GAZ-24 Volga. Mantiene il copilota al sicuro all’interno del veicolo.","Puerta derecha delantera de la berlina GAZ-24 Volga. Mantiene al copiloto a salvo dentro del vehículo.","Une portière avant droite pour berline GAZ-24 Volga. Permet de protéger le passager avant.","GAZ-24 Volga 四門客車的右前門。保持副駕駛在車內的安全。","GAZ-24 Volga セダンの右前のドア。助手席の人も安全に乗れる。","Porta direita do GAZ-24 Volga sedã. Mantém o copiloto seguro dentro do veículo.","GAZ-24 Volga 轿车右前车门。确保车内副驾驶员的安全。",
"STR_real_CivSedanDoors_BackLeft0","GAZ-24 Volga Rear Left Door","GAZ-24 Volga Rear Left Door","Levé zadní dveře GAZ-24 Volga","GAZ-24 Volga Tür hinten links","Задняя левая дверь ГАЗ-24 Волга","Tyle lewe drzwi od GAZ-24 Volga","GAZ-24 Volga Rear Left Door","Portiera posteriore sinistra GAZ-24 Volga","Puerta izquierda trasera de GAZ-24 Volga","Portière ARG de GAZ-24 Volga","GAZ-24 Volga 左後門","GAZ-24 Volga 左後ろのドア","Porta traseira esquerda GAZ-24 Volga","GAZ-24 Volga 左后车门",
"STR_real_CivSedanDoors_BackLeft1","Rear left door of the GAZ-24 Volga sedan. Keeps the passenger in the backseat safe inside the vehicle.","Rear left door of the GAZ-24 Volga sedan. Keeps the passenger in the backseat safe inside the vehicle.","Levé zadní dveře sedanu GAZ-24 Volga. Chrání spolujezdce na zadním sedadle uvnitř vozu.","Linke Hintertür der GAZ-24 Volga-Limousine. Verhindert, dass Passagiere auf der Rückbank aus dem Wagen fallen.","Задняя левая дверь седана ГАЗ-24 Волга. Обеспечивает безопасность пассажиров на заднем сиденье.","Tylne lewe drzwi od sedana GAZ-24 Volga. Dzięki nim pasażer z tyłu będzie bezpieczny.","Rear left door of the GAZ-24 Volga sedan. Keeps the passenger in the backseat safe inside the vehicle.","La portiera posteriore sinistra della berlina GAZ-24 Volga. Mantiene il passeggero seduto sul sedile posteriore al sicuro all’interno del veicolo.","Puerta izquierda trasera de la berlina GAZ-24 Volga. Mantiene a los pasajeros del asiento de atrás a salvo dentro del vehículo.","Une portière arrière gauche pour berline GAZ-24 Volga. Permet de protéger le passager arrière à gauche.","GAZ-24 Volga 四門客車的左後門。使後座乘客安全的坐在車內。","GAZ-24 Volga セダンの左後ろのドア。後部席の人も安全に乗れる。","Porta traseira esquerda do GAZ-24 Volga sedã. Mantém o passageiro no banco de trás seguro dentro do veículo.","GAZ-24 Volga 轿车左后车门。确保车内后座乘客的安全。",
"STR_real_CivSedanDoors_BackRight0","GAZ-24 Volga Rear Right Door","GAZ-24 Volga Rear Right Door","Pravé zadní dveře GAZ-24 Volga","GAZ-24 Volga Tür hinten rechts","Задняя правая дверь ГАЗ-24 Волга","Tyle prawe drzwi od GAZ-24 Volga","GAZ-24 Volga Rear Right Door","Portiera posteriore destra GAZ-24 Volga","Puerta derecha trasera de GAZ-24 Volga","Portière ARD de GAZ-24 Volga","GAZ-24 Volga 右後門","GAZ-24 Volga 右後ろのドア","Porta traseira direita GAZ-24 Volga","GAZ-24 Volga 右后车门",
