"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_cfgWeapons_real_AK1010","AK-101","AK-101","AK-101","AK-101","АК-101","AK-101","AK-101","AK-101","AK-101","AK-101","AK-101","AK-101","AK-101","AK-101",
"STR_cfgWeapons_real_AK1011","Selective-fire assault rifle fed from a detachable magazine. Export version of modernized AK-74M with compatible attachments. Uses 5.56x45mm rounds.","Selective-fire assault rifle fed from a detachable magazine. Export version of modernized AK-74M with compatible attachments. Uses 5.56x45mm rounds.","Útočná puška s možností volby režimu střelby, munice dodávána odnímatelným zásobníkem. Exportní verze modernizované AK-74M s kompatibilními doplňky. Používá munici 5,56x45 mm.","Sturmgewehr mit selektivem Feuer und abnehmbarem Magazin. Die exportierte Version des modernisierten AK-74M mit kompatiblen Erweiterungen. Nutzt 5.56x45mm-Munition.","Автомат с переводчиком режимов огня и съемным магазином. Экспортная версия модернизированного АК-74М с совместимыми приспособлениями. Использует патроны калибра 5,56x45 мм.","Karabin szturmowy z przełącznikiem ognia i magazynkiem zewnętrznym. Eksportowa wersja AK-74M (część akcesoriów jest z nią kompatybilna). Strzela amunicją 5,56x45 mm.","Selective-fire assault rifle fed from a detachable magazine. Export version of modernized AK-74M with compatible attachments. Uses 5.56x45mm rounds.","Fucile d’assalto con selettore di fuoco e alimentazione mediante un caricatore estraibile. Variante per l’esportazione del modernizzato AK-74M con accessori compatibili. Utilizza munizioni calibro 5.56x45 mm.","Fusil de asalto de fuego selectivo, alimentado por un cargador desmontable. Versión exportada de un AK-74M modernizado, con accesorios compatibles. Usa proyectiles de 5,56x45 mm.","Un fusil d'assaut avec sélecteur de tir à chargeur amovible de calibre 5,56x45 mm. Version d'export de la AK-74M modernisée accueillant les accessoires compatibles.","可選射擊模式的突擊步槍，以可拆卸的彈匣供彈。是新式 AK-74M 的輸出版，並可搭載相容的配件。使用 5.56x45mm 子彈。","取り外し可能なマガジンから装填する、セレクティブファイア機能のアサルトライフル。互換性のあるアタッチメントがある近代化した AK-74M の輸出用バージョン。5.56x45mm 弾薬を使う。","Fuzil de assalto de fogo seletivo alimentado por um carregador destacável. Versão de exportação do AK-74M modernizado com acessórios compatíveis. Usa munições calibre 5.56x45mm.","可選射擊模式的突擊步槍，以可拆卸的彈匣供彈。是新式 AK-74M 的輸出版，並可搭載相容的配件。使用 5.56x45mm 子彈。",
"STR_cfgWeapons_real_AK740","AK-74","AK-74","AK-74","AK-74","АК-74","AK-74","AK-74","AK-74","AK-74","AK-74","AK-74","AK-74","AK-74","AK-74",
"STR_cfgWeapons_real_AK741","Selective-fire assault rifle fed from a detachable magazine. Replacement of AKM with compatible attachments. Uses 5.45x39mm rounds.","Selective-fire assault rifle fed from a detachable magazine. Replacement of AKM with compatible attachments. Uses 5.45x39mm rounds.","Útočná puška s možností volby režimu střelby, munice dodávána odnímatelným zásobníkem. Náhrada modelu AKM s kompatibilními doplňky. Používá munici 5,45x39 mm.","Sturmgewehr mit selektivem Feuer und abnehmbarem Magazin. Nachfolger des AKM mit diversen kompatiblen Erweiterungen. Nutzt 5.45x39mm-Munition.","Автомат с переводчиком режимов огня и съемным магазином. Является заменой АКМ с совместимыми приспособлениями. Использует патроны калибра 5,45x39 мм.","Karabin szturmowy z przełącznikiem ognia i magazynkiem zewnętrznym. Zamiennik AKM (część akcesoriów jest z nim kompatybilna). Strzela amunicją 5,45x39 mm.","Selective-fire assault rifle fed from a detachable magazine. Replacement of AKM with compatible attachments. Uses 5.45x39mm rounds.","Fucile d’assalto con selettore di fuoco e alimentazione mediante un caricatore estraibile. Sostituzione del AKM con accessori compatibili. Utilizza munizioni calibro 5.45x39 mm.","Fusil de asalto de fuego selectivo, alimentado por un cargador desmontable. Sustitución del AKM con accesorios compatibles. Usa proyectiles de 5,45x39 mm.","Un fusil d'assaut avec sélecteur de tir à chargeur amovible de calibre 5,45x39 mm, remplaçant la AKM et accueillant les accessoires compatibles.","可選射擊模式的突擊步槍，以可拆卸的彈匣供彈。是 AKM 的代替品，並可搭載相容的配件。使用 5.45x39mm 子彈。","取り外し可能なマガジンから装填する、セレクティブファイア機能のアサルトライフル。互換性のあるアタッチメントがある AKM の代替品。 5.45x39mm 弾薬を使う。","Fuzil de assalto de fogo seletivo alimentado por um carregador destacável. Substituto do AKM com acessórios compatíveis. Usa munições calibre 5.45x39mm.","可選射擊模式的突擊步槍，以可拆卸的彈匣供彈。是 AKM 的代替品，並可搭載相容的配件。使用 5.45x39mm 子彈。",
"STR_cfgWeapons_real_AKM0","AKM","AKM","AKM","AKM","АКМ","AKM","AKM","AKM","AKM","AKM","AKM","AKM","AKM","AKM",
"STR_cfgWeapons_real_AKM1","Selective-fire assault rifle fed from a detachable magazine. Modernized version of classic AK-47 with lot of attachments available. Uses 7.62x39mm rounds.","Selective-fire assault rifle fed from a detachable magazine. Modernized version of classic AK-47 with lot of attachments available. Uses 7.62x39mm rounds.","Útočná puška s možností volby režimu střelby, munice dodávána odnímatelným zásobníkem. Modernizovaná varianta klasické AK-47 se spoustou dostupných doplňků. Používá munici 7,62x39 mm.","Sturmgewehr mit selektivem Feuer und abnehmbarem Magazin. Modernisierte Variante der klassischen AK-47 mit zahlreicher Erweiterungen. Nutzt 7.62x39mm-Munition.","Автомат с переводчиком режимов огня и съемным магазином. Модернизированная версия классического АК-47 с множеством совместимых приспособлений. Использует патроны калибра 7,62x39 мм.","Karabin szturmowy z przełącznikiem ognia i magazynkiem zewnętrznym. Zmodernizowana wersja klasyka AK-47. Dostępnych jest do niej wiele akcesoriów. Strzela amunicją 7,62x39 mm.","Selective-fire assault rifle fed from a detachable magazine. Modernized version of classic AK-47 with lot of attachments available. Uses 7.62x39mm rounds.","Fucile d’assalto con selettore di fuoco e alimentazione mediante un caricatore estraibile. Variante modernizzata del classico AK-47 con molti accessori disponibili. Utilizza munizioni calibro 7.62x39 mm.","Fusil de asalto de fuego selectivo, que se alimenta de un cargador desmontable. Versión moderna del clásico AK-47 con muchos accesorios disponibles. Usa proyectiles de 7,62x39 mm.","Un fusil d'assaut de calibre 7,62x39 mm avec différents modes de tir et chargeur amovible. Variante moderne de la AK-47 accueillant de nombreux accessoires.","可選射擊模式的突擊步槍，以可拆卸的彈匣供彈。是經典 AK-47 的現代版，可加裝自訂配件，配件種類眾多。使用 7.62x39mm 子彈。","取り外し可能なマガジンから装填する、セレクティブファイア機能のアサルトライフル。利用可能なアタッチメントが多数ある従来の AK-47 の近代化型。7.62x39mm 弾薬を使う。","Fuzil de assalto de fogo seletivo alimentado por um carregador destacável. Versão modernizada do clássico AK-47 com muitos acessórios disponíveis. Usa munições calibre 7.62x39mm.","可選射擊模式的突擊步槍，以可拆卸的彈匣供彈。是經典 AK-47 的現代版，可加裝自訂配件，配件種類眾多。使用 7.62x39mm 子彈。",
"STR_cfgWeapons_real_AKS74U0","AKS-74U","AKS-74U","AKS-74U","AKS-74U","АКС-74У","AKS-74U","AKS–74U","AKS-74U","AKS-74U","AKS-74U","AKS-74U","AKS-74U","AKS-74U","AKS-74U",
"STR_cfgWeapons_real_AKS74U1","Selective-fire assault rifle fed from a detachable magazine. Shortened version of AK-74 with some compatible attachments. Uses 5.45x39mm rounds.","Selective-fire assault rifle fed from a detachable magazine. Shortened version of AK-74 with some compatible attachments. Uses 5.45x39mm rounds.","Útočná puška s možností volby režimu střelby, munice dodávána odnímatelným zásobníkem. Zkrácená verze modelu AK-74 s několika kompatibilními doplňky. Používá munici 5,45x39 mm.","Sturmgewehr mit selektivem Feuer und abnehmbarem Magazin. Die verkürzte Version des AK-74 mit diversen kompatiblen Erweiterungen. Nutzt 5.45x39mm-Munition.","Автомат с переводчиком режимов огня и съемным магазином. Укороченная версия автомата АК-74 с некоторыми совместимыми приспособлениями. Использует патроны калибра 5,45x39 мм.","Karabin szturmowy z przełącznikiem ognia i magazynkiem zewnętrznym. Skrócona wersja AK-74 (część akcesoriów jest z nią kompatybilna). Strzela amunicją 5,45x39 mm.","Selective-fire assault rifle fed from a detachable magazine. Shortened version of AK-74 with some compatible attachments. Uses 5.45x39mm rounds.","Fucile d’assalto con selettore di fuoco e alimentazione mediante un caricatore estraibile. Variante ridotta del AK-74 con alcuni accessori compatibili. Utilizza munizioni calibro 5.45x39 mm.","Fusil de asalto de fuego selectivo, alimentado por un cargador desmontable. Versión más corta del AK-74, con algunos accesorios compatibles. Usa proyectiles de 5,45x39 mm.","Un fusil d'assaut avec sélecteur de tir à chargeur amovible de calibre 5,45x39 mm. Version raccourcie du AK-74 accueillant les accessoires compatibles.","可選射擊模式的突擊步槍，以可拆卸的彈匣供彈。是 AK-74 的縮短版，並可搭載某些配件。使用 5.45x39mm 子彈。","取り外し可能なマガジンから装填する、セレクティブファイア機能のアサルトライフル。互換性のあるアタッチメントがいくつかある AK-74 の短縮型。5.45x39mm 弾薬を使う。","Fuzil de assalto de fogo seletivo alimentado por um carregador destacável. Versão reduzida do AK-74 com alguns acessórios compatíveis. Usa munições calibre 5.45x39mm.","可選射擊模式的突擊步槍，以可拆卸的彈匣供彈。是 AK-74 的縮短版，並可搭載某些配件。使用 5.45x39mm 子彈。",
"STR_cfgWeapons_real_ASVAL0","AS Val","AS Val","AS Val","AS Val","AC Вал","AS Val","AS Val","AS Val","AS Val","AS Val","AS Val","AS Val","AS Val","AS Val",
"STR_cfgWeapons_real_ASVAL1","A derivative of VSS, outfitted to support universal attachments. Uses 9x39mm rounds.","A derivative of VSS, outfitted to support universal attachments. Uses 9x39mm rounds.","Zbraň odvozená od pušky VSS, která je přizpůsobena k montáži univerzálních doplňků. Používá munici 9x39 mm.","Eine abgeleitete Variante des VSS mit Option auf sämtliche Erweiterungen. Verschießt 9x39mm-Munition.","Модификация снаперской винтовки ВСС, поддерживает установку универсальных приспособлений. Использует патроны калибра 9x39 мм.","Pochodna VSS umożliwiająca rozbudowę o uniwersalne akcesoria. Strzela amunicją 9x39 mm.","A derivative of VSS, outfitted to support universal attachments. Uses 9x39mm rounds.","Fucile di derivazione VSS, attrezzato in modo da supportare gli accessori universali. Usa munizioni calibro 9x39 mm.","Una versión del VSS adaptada para emplear accesorios universales. Usa proyectiles de 9x39 mm.","Une variante du VSS de calibre 9x39 mm, pouvant accueillir des accessoires universels.","VSS 的衍生型，可以裝配通用配件。使用 9x39mm 子彈。","万能アタッチメントを装着できる VSS の派生型。9x39mm 弾薬を使う。","Uma derivação do VSS, recondicionado para dar suporte a acessórios universais. Usa munições 9x39mm.","VSS 的衍生型，可以裝配通用配件。使用 9x39mm 子彈。",
